date,text,verdict
May 20 2019,"""We’ve had a 30% increase in suicides in this country in just 15 years.""",0
April 25 2019,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",0
March 22 2019,"During her tenure as county attorney in Minnesota, ""there was a 65 percent decrease in incarceration of African-Americans.""",4
February 22 2019,"Prescription drugs ""are nearly 20 percent of our health care costs now when you include hospital prescription drugs.""",1
February 20 2019,"""Comprehensive immigration reform, the bill we had back in 2013 ... brought the debt down $158 billion.""",2
December 5 2018,"""After a decade of progress, the rate of uninsured children is now rising."" ",1
July 25 2018,"Says Judge Brett Kavanaugh ""ruled that the Consumer Financial Protection Bureau was unconstitutional (reversed by full Circuit Court)."" ",1
July 26 2016,"""Human trafficking is the third-biggest criminal enterprise in the world."" ",1
January 4 2015,"""We're now the No. 1 producer of oil in the world. We've surpassed Saudi Arabia."" ",0
September 16 2014,"Children who witness domestic violence are ""twice as likely to commit it themselves."" ",1
