date,text,verdict
November 6 2017,"""Eight in 10 people this year can find plans for $75 a month or less.""",2
June 26 2017,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",1
March 23 2017,"""The vast majority of marketplace enrollees have experienced no average premium hike at all."" ",1
November 7 2016,"The list of voters that North Carolina Republicans ""tried to purge was two-thirds black and Democratic.""",2
October 13 2016,"""If you look worldwide, the number of terrorist incidents have not substantially increased.""",3
October 13 2016,"""Refugees are subject to more rigorous screening than the average tourist in the U.S."" ",0
September 30 2016,"""Since I came into office … we have increased the VA budget by 85 percent.""",2
September 13 2016,"Says Donald Trump's foundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""",0
August 5 2016,"Because of the Trans-Pacific Partnership ""we’ve got a country like Malaysia taking really serious efforts to crack down on human trafficking."" ",1
August 4 2016,"Thanks to the Trans-Pacific Partnership, ""Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time.""",2
August 4 2016,"The Trans-Pacific Partnership ""knocks out 18,000 tariffs that other countries place on American products and goods.""",1
July 28 2016,"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",1
July 28 2016,"""Illegal immigration and the crime rate are as low as they’ve been in decades.""",1
July 14 2016,"""We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.""",3
July 5 2016,"""The steel industry is producing as much steel in the United States as it ever was. It’s just (that) it needs one-tenth of the workers that it used to.""",4
July 5 2016,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",3
June 23 2016,"""As governor, in the face of partisan attacks, (Charlie Crist) had the courage to save jobs and lead his state into economic recovery.""",2
June 20 2016,"""We’re the only advanced democracy in the world that makes it harder for people to vote.""",2
June 16 2016,"""We've seen more manufacturing jobs created since I've been president than anytime since the 1990s. That's a fact.""",2
May 26 2016,"""The Nordic countries are some of the few countries"" that meet development aid goals. ",1
April 12 2016,"""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.""",0
April 5 2016,"The ""rate of uninsured Americans (is) 8.8 percent.""",2
March 17 2016,"Illegal ""immigration is lower than it’s been in 40 years.""",1
