date,text,verdict
February 8 2016,"Says she ""is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.""",0
January 20 2016,"The United States has a ""record number of abortions year after year after year.""",4
January 7 2016,"""When we held recent economic dialogues with China, we agreed on over 100 different things  —  including wildlife trafficking and volcano research. None of these 100-plus points of agreement addressed cybersecurity.""",3
December 16 2015,"""One of the things I would immediately do … is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didn’t want to hear.""",3
November 20 2015,"""The vast majority of (Syrian) refugees are young, able-bodied men looking for work.""",4
November 14 2015,"The Consumer Financial Protection Bureau has ""no congressional oversight.""",2
November 11 2015,"""Obamacare isn't helping anyone.""",5
November 1 2015,"""We have record numbers of people living in poverty.""",2
October 29 2015,"""92 percent of the jobs lost during Barack Obama’s first term belonged to women.""",4
October 5 2015,"Planned Parenthood ""is an organization that funnels millions of dollars in political contributions to pro-abortion candidates.""",1
September 21 2015,"Says Donald Trump was ""forced to file for bankruptcy not once, not twice, four times.""",1
September 17 2015,"One of the Planned Parenthood videos shows ""a fully formed fetus on the table, its heart beating, its legs kicking, while someone says, 'We have to keep it alive to harvest its brain.' """,3
September 16 2015,"""The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.""  ",0
August 11 2015,"Says Donald Trump has ""changed his mind"" on abortion.",0
August 10 2015,"""If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.""",3
July 12 2015,"""We're destroying more businesses in the United States now than are being created for the first time in our history.""",2
May 10 2015,"""We doubled the size of the company (Hewlett-Packard).""",1
January 22 2015,"Says President Barack Obama is ""not paying women equally by his own measures in his own White House.""",3
January 15 2014,"""Seventy percent of the people living in abject poverty are women.""",4
August 22 2013,"""There are only four countries in the world that ... legalize abortion after five months -- China, North Korea, Canada and the U.S.""",2
June 4 2010,"""Barbara Boxer's worried about the weather"" instead of terrorism as the biggest threat to national security.",5
May 28 2010,"Sen. Barbara Boxer ""passed only three bills in 18 years"" into law.",4
