date,text,verdict
October 25 2016,"Says he and his running mate ""are the only candidates that do believe in free trade.""",2
September 23 2016,"""Sixty percent of Americans now support legalizing marijuana."" ",1
September 6 2016,"""Undocumented workers crossing the border right now is at a 12-year low.""",1
August 29 2016,"""None of the polls being conducted right now have us on the top line. None of them. It's always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, we'd be at 20 percent.""",4
August 17 2016,"""Most Americans support"" the legalization of marijuana.",0
August 16 2016,"Legal prescription drugs ""statistically kill 100,000 people a year, (but) there are no documented deaths due to marijuana.""",2
August 15 2016,"""The Pentagon itself says that we could eliminate 20 percent of U.S. bases.""",3
July 14 2016,"""(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.""",1
June 9 2016,"Says the United States has ""treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress."" ",3
September 20 2012,"""I am going to be on the ballot in all 50 states. There is no other third-party candidate that’s going to come close to achieving that."" ",1
June 6 2012,"""Right now, I’m polling at about 8 percent"" against Barack Obama and Mitt Romney.",3
March 7 2012,"""Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs.""",1
September 29 2011,"""It costs more money to put a person on death row than it does to lock them up for the rest of their lives because of attorney fees.""",2
September 22 2011,"""We're bankrupt.""",4
September 22 2011,"Says the United States has the highest incarceration rate in the world with 2.3 million inmates, and the majority of Americans are imprisoned because they sold small amounts of drugs.",2
July 15 2011,"""New Mexico is the second Hollywood"" because of tax incentives for the film industry.",2
May 6 2011,"""We have the highest corporate income tax in the world right now.""",1
