date,text,verdict
May 2 2016,"""After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed."" ",0
April 15 2016,"Ten times, no Republican candidate for president had enough delegates to claim the nomination before the party’s convention, and seven of those times ""somebody who was not the leader of delegates was selected as the nominee of the party.""",1
April 8 2016,"""There are no rules governing"" the 2016 Republican convention, ""the rules have not been set."" ",1
March 20 2016,"Says Donald ""Trump got, you know, $1.8 billion worth of free media. I got, like, none.""",1
March 17 2016,"""You know what Truman said, ‘You want a friend in Washington, buy a dog.’ """,4
March 9 2016,"""As governor, Kasich delivered the largest tax cut in the nation.""",3
March 9 2016,"""Twenty million Americans are out of work.""",2
March 3 2016,"In head-to-head polls for the general election, ""I beat Hillary Clinton by more than anybody, by 11 points.""",1
February 15 2016,"""When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.""",1
February 8 2016,"Ohio’s credit rating is ""as high as you can get, AA+.""",4
September 29 2015,"""When I left Washington, we had a $5 trillion surplus.""",3
August 9 2015,"Says he was ""one of the chief architects"" of balancing the federal budget.",1
August 6 2015,"""I took the state of Ohio from an $8 billion hole … to a $2 billion surplus.""",1
January 25 2015,"""You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it."" ",5
April 8 2013,"""Right now, Texas doesn’t have an income tax and Oklahoma’s lowering their income tax rates, and guess what their severance tax is? Sky high.""",0
April 8 2013,"Says that his transportation budget and Ohio Turnpike plan ""would make sure we have lower tolls than we’ve had through the history of the turnpike.""",5
March 21 2013,"""Under Gov. Kasich, Ohio wages have increased by $10.3 billion.""",0
February 21 2013,"Without a Medicaid expansion, 275,000 more Ohioans could be getting their primary care in emergency rooms, costing ""everybody a lot of money.""",1
January 7 2013,"Says ""Detroit dumping a bunch of sewage"" in Lake Erie ""causes big problems"" for Ohio.",2
December 12 2012,"Agriculture ""is the strongest industry in Ohio.""",0
October 5 2012,"""We're up 123,000 jobs over the last year and three-quarters. We're actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.""",1
August 8 2012,"""Ninety percent of the topsoil has inadequate moisture to grow crops.""",0
June 13 2012,"""Giving the facts:  73,000 jobs created ... since '11.  Do you know how many direct jobs in the auto industry?  1,800.""",1
June 11 2012,"""When I started in Ohio it was terrible. Now, we’re getting bipartisan support for our bills. And that’s called leadership.""",1
April 11 2012,"""Our rainy day fund has gone from 89 cents to $240 million.""",0
April 5 2012,"""We were the No. 1 job creator in America in February and we are now the No. 4 job creator in the last year.""",0
March 15 2012,"""The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.""",2
January 27 2012,Says Ohio has 77 job training programs spread across 13 state agencies.,0
January 6 2012,"""We are now eighth in the nation in job creation . . . we are No. 1 in the Midwest.""  ",1
November 29 2011,"""We have had some significant accomplishments on a bipartisan basis.""",0
November 17 2011,"""One-third of our college grads leave Ohio within three years.""",1
November 3 2011,"""They talk about this problem with binding arbitration. It doesn’t make a lot of sense to me to have somebody from Los Angeles fly into Zanesville and impose a wage settlement on you ... and then they’re on the plane back to Los Angeles.""",5
October 3 2011,"""We’re. . . keeping and creating jobs in our state. From American Greetings, to Wendy’s, to Diebold, we’ve gone to their doorsteps to keep jobs right here in Ohio.""",0
September 27 2011,"""We have asked public employees to pay 10 percent of the costs of their guaranteed pension and 15 percent of the cost of their health care. ... The leadership of those public employees unions don't want to pay anything.""",3
September 12 2011,"""Since the beginning of the year we've created a net increase of 45,000 jobs.""",3
August 11 2011,On how money from a possible lease of the Ohio Turnpike would be used,2
August 1 2011,"""Believe it or not, consumer spending is up over the last eight months."" ",0
July 21 2011,"""We jumped 11 places since beginning this year in terms of being job-friendly.""",1
June 17 2011,"""The president came in and campaigned against me 12 times.""",3
June 6 2011,"""We’re the seventh highest taxed state in America. And that’s not just state, it’s local as well.""",4
May 30 2011,"""We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.""",1
May 13 2011,"""We're within 600 miles of 60 percent of America. We're in a perfect location.""",0
May 10 2011,"""Two million federal workers negotiate zippo, zero. There is no collective bargaining for federal employees.""",3
May 3 2011,"""State employees are actually going to get a pay raise.""",4
April 19 2011,"""In this bill that I’ve just signed, we don’t cut anybody’s salary. We don’t take away their pension. And we don’t destroy their health care.""",2
April 12 2011,"There was ""some sort of informal commitment to build a (psychiatric) building in downtown Cleveland.""",4
March 23 2011,"Ohio Director of Job Creation ""Mark Kvamme just clawed back about $900,000 from companies that made promises and they didn't keep them.""",2
March 10 2011,"""Our average private sector employee pays 23 percent for their health care. Our average city worker in Ohio pays 9 percent.""",0
March 4 2011,"""We have lost 600,000 jobs over the period of the last 10 years. Only Michigan and California have done worse.""",0
February 25 2011,"""President Obama came to Ohio 12 times to try to defeat me and guess what? He didn't win.""",3
February 17 2011,"Says there are Ohio Turnpike workers getting paid $66,000 a year to collect tolls that machines might collect.",1
February 7 2011,"Says an EPA permit ""languished"" under Strickland but his new EPA director got it done in two days.",3
January 19 2011,On whether the state should privatize the Ohio Turnpike.,0
January 5 2011,"""Ohio has lost more population than every other state in the country except for two.""",4
December 10 2010,"""I think [a little] less than half of the people in our prisons are in there for less than a year.  ... We have people who are check kiters and don't pay child support and we are locking them up in the state pen.""",0
December 8 2010,"""They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.""",2
November 30 2010,"""Ohio ranks 46th in the country in putting dollars in the classroom.""",1
November 15 2010,"John Kasich says he won, despite ""12 visits by a president, somewhere between $45 (million) and $50 million (spent against him,) 500 paid volunteers in here calling me every name in the book, former presidents, first ladies and God-knows-who-else.""  ",2
October 31 2010,"""(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.""",2
October 19 2010,"""Ted Strickland destroyed Ohio jobs when he busted the budget.""",4
October 13 2010,"""(Strickland) raised taxes last year to the tune of $840 million.""",1
September 24 2010,State government spending will be increase 10.7 percent this year.,3
September 22 2010,"""The total number of dollars that passes through the Department of Development is like $900 million and like $650 (million) of it has nothing to do with development, which is breathtaking when you think about it.""",2
September 15 2010,"""You can’t raise taxes in Ohio. We are one of the highest taxed states in the country.""",2
August 17 2010,"""We didn’t have a development director for over seven months.""",4
August 12 2010,On whether to eliminate the state income tax.,2
July 23 2010,"""Since 1904, the Ohio victor has won the presidency 25 out of 27 times """,0
