date,text,verdict
January 11 2012,"""What’s clear is (Romney) likes firing people.""",3
January 8 2012,"Says the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can.""",4
January 8 2012,"""I delivered a flat tax for my state. I took my state to No. 1 in job creation. With all due respect to what Rick Perry has said about Texas, we did a little bit better.""",2
December 16 2011,"""In this country … we have more natural gas than Saudi Arabia has oil.""",3
December 13 2011,"""You look at defense … we're spending more than the rest of the world combined.""",3
December 8 2011,"""We have more natural gas in this country than Saudi Arabia has oil.""",3
November 8 2011,"The United States sends ""$300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.""",2
November 2 2011,Says Mitt Romney flip-flopped on gun control.,1
November 2 2011,Says Mitt Romney flip-flopped on abortion.,0
October 13 2011,"""The IRS is already planning on 19,500 new employees to administer"" Obama’s health care mandate.",5
October 12 2011,"""I created a flat tax in the state of Utah. It took that state to the number-one position in terms of job creation.""",2
September 8 2011,"Utah was ""the No. 1 job creator in this country during my years of service"" as governor, with a 5.9 percent increase in jobs.",2
August 19 2011,"China is or soon will be ""the largest English-speaking nation"" in the world.",2
August 19 2011,"There are 500 million Internet users ""and 80 million bloggers who are driving discussions in China. … So you’ve got a lot of people voicing frustration and discontent.""",1
August 12 2011,"""We created a flat tax in the state of Utah.""",1
August 8 2011,"The United States has ""the longest surviving constitution.""",1
July 28 2011,"Says that when he was governor of Utah, he worked with the state Legislature to create a flat tax that ""cut income taxes by 30 percent.""",3
June 23 2011,"The U.S. is spending ""one out of every six Defense Department dollars on Afghanistan.""",0
