date,text,verdict
May 8 2019,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",0
May 6 2019,"""I was always labeled as one of the most liberal members of the United States Congress.""",4
April 16 2019,"""People show up in the emergency room with a sprained ankle, 25 percent get an opioid prescription.""",1
March 26 2019,"The Trump budget ""cuts $845 billion, almost a trillion dollar cut in Medicare.""",3
February 22 2019,"""Since the passage of (the Violence Against Women Act), annual rates of domestic violence have dropped by 63 percent.""",2
February 4 2019,"""There was virtually no new business investment"" after the 2017 tax law. ""The bulk was used to buy back their own stock.""",2
August 17 2016,"Says military commanders have said that if Donald Trump were elected, ""they would not follow his orders.""",3
August 2 2016,"Says Donald Trump ""is going to go out and carpet bomb"" the Middle East.",4
July 27 2016,"""We have the most productive workers in the world.""",1
July 15 2016,"""95 percent of the world’s customers are … beyond our shores.""",2
May 9 2016,"""In the United States alone we lose more than 3,000 people a day to cancer.""",4
May 5 2016,"Cervical cancer in Africa is ""fully preventable with basic education, screening and vaccines.""",1
March 12 2015,"""The vast majority of our international commitments take effect without congressional approval.""",2
February 19 2015,"""There is a very identifiable Somali community"" back home in Delaware.",5
July 29 2014,"The Obama administration's policies ""have reduced minority dropout rate by 25 percent.""",2
June 24 2014,"""I don't own a single stock or bond … I have no savings accounts.""",2
June 20 2013,"""Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.""",0
October 16 2012,"Paul Ryan ""cut embassy security in his budget by $300 million below what we asked for.""",2
October 12 2012,"""There's not one Democrat who endorses"" the Romney-Ryan Medicare plan.",0
October 12 2012,"""We weren't told they wanted more security "" for diplomatic facilities in Libya.",3
October 11 2012,"On ending the war in Iraq, ""Gov. Romney said that was a tragic mistake, we should have left 30,000 troops there.""",2
October 11 2012,"Says Mitt Romney and Paul Ryan would ""eliminate the guarantee of Medicare.""",2
October 5 2012,"""If Gov. Romney's plan goes into effect … the average senior would have to pay $460 a year more in tax for their Social Security.""",3
September 9 2012,"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families."" ",1
September 5 2012,"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",2
June 1 2012,"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.",1
May 14 2012,"""When we took office, let me remind you, there was virtually no international pressure on Iran.""",4
April 16 2012,"""The bulk of the people who are shot with a weapon — other than these drug gangs taking on one another — end up being shot with their own weapon.""",2
April 13 2012,"The 30 percent tax rate called for under President Barack Obama’s proposed Buffett Rule ""is lower than the prescribed tax rate for millionaires already -- not just for millionaires, for people making over $200,000.""",2
April 9 2012,"""General Motors is the largest corporation in the world again.""",4
February 9 2012,"""Nationwide tuition at public universities is up almost 300 percent ... in the last 20 years.""",1
December 2 2011,"In Iraq, ""violence is down to an all-time low"" since the start of the war.",1
November 18 2011,"""The median income of a middle class family went down $2,100 from 2001 to 2007.""",0
November 3 2011,"In Libya, ""America spent $2 billion total and didn’t lose a single life.""",1
October 25 2011,"""In 2008, when Flint had 265 sworn officers on their police force, there were 35 murders and 91 rapes in this city. In 2010, when Flint had only 144 police officers, the murder rate climbed to 65, and rapes … climbed to 229.""",2
September 7 2011,"Says U.S. Rep. Paul Ryan’s budget proposal ""eliminates Medicare"" in 10 years.",4
