date,text,verdict
June 4 2015,"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",4
March 27 2015,"""If you took every penny of the 1 percent, including their dog, you wouldn't even begin to balance the budget.""",3
March 8 2015,"""The labor participation rate is at an all-time low.""",3
October 5 2014,"Under sequestration, the military was cut ""down to the smallest Army since 1940, the smallest Navy since 1915.""",2
August 10 2014,"Top U.S. intelligence officials have told ""every member of Congress, including the president, we’re about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.""",2
July 27 2014,"Russia ""has an economy the size of Italy."" ",1
May 3 2013,"South Carolina has a labor shortage, specifically in the meatpacking industry.",1
August 6 2010,"""People come here to have babies. They come here to drop a child. It's called 'drop and leave.""",2
March 30 2010,"""The average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge.""",4
July 13 2009,"""Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.""",0
April 28 2009,"""The Geneva Convention did not apply, until 2005, to the war on terror.""",2
September 1 2008,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",0
