date,text,verdict
September 15 2015,"Says Donald Trump’s polling numbers show that he’s ""the highest with Hispanics that any Republican has ever been.""",4
July 23 2013,"""The president … by executive order"" could grant voting rights to illegal immigrants who are newly legalized under pending legislation.",5
May 20 2013,"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",5
May 20 2013,"The IRS is ""going to be in charge of our health care.""",4
May 20 2013,"""The IRS will have the ability potentially"" to deny or delay health care.",3
March 20 2013,"""Scientists tell us that we could have a cure in 10 years for Alzheimer's"" were it not for ""overzealous regulators, excessive taxation and greedy litigators.""",5
March 19 2013,"Of every ""three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.""",5
August 29 2012,"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",4
December 16 2011,"Says Newt Gingrich ""made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.""",1
December 15 2011,"""After the debate that we had last week, PolitiFact came out and said that everything I said was true.""",5
December 11 2011,"Says Mitt Romney, as governor of Massachusetts, ""put into place socialized medicine.""",5
December 11 2011,"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",1
November 29 2011,"Says Newt Gingrich ""has said that we should make the 11 million illegal workers that are in this country legal.""",4
November 23 2011,"Says Mahmoud Ahmadinejad said that ""if he has a nuclear weapon he will use it to wipe Israel off the face of the earth. He will use it against the United States of America.""",4
November 22 2011,"Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.",0
November 10 2011,"""By 2015, we will be sending so much interest"" to China that ""we will be paying for the entire People's Liberation Army.""",4
October 31 2011,"""Under Barack Obama's watch, we have expended $805 billion to liberate the people of Iraq and, more importantly, 4,400 American lives.""",5
October 20 2011,"President Obama’s uncle and aunt ""are illegal aliens ...  who've been allowed to stay in this country.""",2
October 19 2011,"""Obamacare is so flat-out unpopular, that even the Obama administration chose to reject part of Obamacare last Friday, when they tried to throw out the CLASS Act, which is the long-term care function.""",3
October 19 2011,"""We saw the president of the United States engage American troops in a fourth conflict in a foreign land. This is historic.""",4
October 18 2011,"""When we got the income tax in 1913, the top rate was 7 percent. By 1980, the top rate was 70 percent.""",0
October 14 2011,Says Rick Perry increased spending in Texas by more than 50 percent.,2
October 12 2011,Says Rick Perry co-chaired Al Gore’s campaign for president.,2
October 12 2011,"""These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.""",4
October 11 2011,"""Our government right now. . . (is) spending 40 percent more than what we take in.""",0
September 23 2011,"""President Obama has the lowest public approval ratings of any president in modern times.""",5
September 16 2011,Says the vaccine to prevent HPV can cause mental retardation.,4
September 12 2011,"""We know that President Obama stole over $500 billion out of Medicare to switch it over to Obamacare.""",3
September 8 2011,"""The day President Obama took office, gasoline was $1.79 a gallon.""",0
September 1 2011,"President Barack Obama ""has virtually no one in his cabinet with private-sector experience.""",5
August 31 2011,"""The United States is the No. 1 country in the world for energy resources. … We are the king daddy dogs when it comes to energy.""",2
August 12 2011,"When Standard & Poor's ""dropped our credit rating, what they said is, we don't have an ability to repay our debt. ... I was proved right in my position"" that the debt ceiling should not have been raised.",4
July 26 2011,"Says Tim Pawlenty said in 2006, ""The era of small government is over... the government has to be more proactive and more aggressive.""",1
July 1 2011,"""My husband and I have never gotten a penny of money from the farm.""",4
June 29 2011,"Says President Barack Obama said that if he doesn’t turn the economy around after three years in office, he’ll be a one-term president.",1
June 27 2011,"""Under Barack Obama the last two years, the number of federal limousines for bureaucrats has increased 73 percent.""",3
June 27 2011,"""If you threw a barbecue yesterday for the Memorial weekend, it was 29 percent more expensive than last year because Barack Obama's policies have led to groceries going up 29 percent.""",4
June 27 2011,"""The president released all of the oil from the Strategic Oil Reserve.""",4
June 14 2011,"Then-Sen. Barack Obama ""refused to raise the debt ceiling because he said President Bush had failed in leadership.""",0
June 14 2011,"""The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.""",3
April 18 2011,"""The top 1 percent of income-earners pay about 40 percent of all taxes into the federal government.""",4
March 29 2011,"""One. That's the number of new drilling permits under the Obama administration since they came into office.""",5
March 8 2011,"""Secretly, unbeknownst to members of Congress, over $105 billion was hidden in the Obamacare legislation.""",3
February 18 2011,"The government will ""go out and buy my breast pump for my babies.""",4
January 27 2011,"""While the government grew, we lost more than 2 million jobs.""",2
January 26 2011,"The federal government ""now tells us which light bulbs to buy.""",3
January 26 2011,"The federal government ""may put 16,500 IRS agents in charge of policing President Obama's health care bill.""",2
January 26 2011,"""The White House promised us that all the spending would keep unemployment under 8 percent.""",3
November 17 2010,"Small businesses that have ""$250,000 in gross sales for the business. They're the ones that are looking at massive tax increases.""",5
November 4 2010,"""The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.""",4
September 21 2010,"""Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that she's flying.""",5
June 24 2010,"""Social Security, like I told you, is out of money. This year it is borrowing from the general treasury."" ",4
March 29 2010,"""The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care.""",4
March 4 2010,"""President Obama's bill won't bring down the costs (of health care) for average Americans -- or really for very few Americans, if any.""",4
November 3 2009,"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain."" ",5
August 12 2009,"Ezekiel Emanuel, one of President Obama's key health care advisers, ""says medical care should be reserved for the nondisabled. So watch out if you're disabled.""",4
June 26 2009,"ACORN will be a paid partner with the Census Bureau and ""they will be in charge of going door-to-door and collecting data from the American public.""",5
June 25 2009,"Says the Constitution only requires her to tell the census ""how many people are in our home.""",5
May 21 2009,"ACORN ""could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.""",4
April 30 2009,"In the 1970s, ""the swine flu broke out . . . under another Democrat, President Jimmy Carter.""",5
April 1 2009,"""Secretary Geithner has left the option on the table"" of abandoning the dollar for a multinational currency.",4
