date,text,verdict
March 6 2016,On Donald Trump's track record in business,4
April 12 2015,"Says Hillary Clinton ""erased all of her emails even though they were subject to recall and review by Congress."" ",3
March 23 2014,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2
January 5 2014,"The federal health care law tells ""the American people precisely what type of coverage they have to have.""",2
November 3 2013,"""Health insurance is more expensive in Massachusetts than anywhere else in the country.""",1
November 2 2012,"""Obama's Environmental Protection Agency sent emails for Hispanic Heritage Month with a photo of Che Guevara.""",2
October 30 2012,"Says Barack Obama ""sold Chrysler to Italians who are going to build Jeeps in China"" at the cost of American jobs.",5
October 29 2012,"""Women in Barack Obama's White House are earning less than men.""",2
October 28 2012,Rhode Island has taken its federal Medicaid funding and shown it can run the program more cost-effectively than the federal government.,1
October 26 2012,"""Under President Obama: $4,000 tax hike on middle-class families.""",5
October 26 2012,"""6,400 Ohioans ... lost manufacturing jobs in the month of September.""",1
October 23 2012,"Says Barack Obama was silent on Iran ""when the students took to the streets in Tehran and the people there protested, (and) the Green Revolution occurred.""",3
October 23 2012,"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""",1
October 23 2012,"""Latin America’s economy is almost as big as the economy of China.""",2
October 22 2012,"""I went to the Olympics that was out of balance, and we got it on balance.""",1
October 22 2012,"""The president said he was going to create daylight between ourselves and Israel.""",1
October 22 2012,"Says a university survey concluded his Massachusetts administration ""had more women in senior leadership positions than any other state in America.""",1
October 18 2012,"""Regulations have quadrupled. The rate of regulations quadrupled under this president.""",4
October 17 2012,"Says Barack Obama has pension investments that include Chinese firms, and ""investments through a Caymans trust.""",1
October 17 2012,"Says Barack Obama began his presidency ""with an apology tour.""",5
October 17 2012,"Says President Obama waited two weeks to call the attack in Libya ""terror.""",2
October 16 2012,"""Oil production is down 14 percent this year on federal land.""",2
October 16 2012,Says Obama broke his promise to offer a comprehensive immigration bill in his first year.,0
October 10 2012,"""Since President Obama took office, there are over 450,000 more unemployed women.""",2
October 5 2012,"""In one year, (President Obama) provided $90 billion in breaks to the green energy world … into solar and wind, to Solyndra and Fisker and Tesla and Ener1.""",4
October 5 2012,"Says President Obama has ""doubled"" the deficit.",4
October 5 2012,"""Pre-existing conditions are covered under my (health care) plan.""",3
October 5 2012,"Massachusetts schools ""are ranked No. 1 of all 50 states.""",1
October 4 2012,Says Obama promised to cut the deficit in half.,0
October 4 2012,"""Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year.""",4
October 4 2012,"Says Barack Obama ""put in place a board that can tell people ultimately what treatments they're going to receive.""",3
October 3 2012,"""We’re now spending 42 percent of our economy on government.""",1
October 3 2012,"""On Medicare for current retirees, he's cutting $716 billion from the program.""",2
September 25 2012,"College tuition ""costs have risen by 25 percent under the Democrats.""",3
September 21 2012,Says President Barack Obama is responsible for pending defense cuts.,2
September 20 2012,"Says Barack Obama's comments indicate he ""believes in redistribution"" of wealth.",1
September 20 2012,"""Redistribution"" has ""never been a characteristic of America.""",5
September 19 2012," ""Seven times Obama could have stopped China's cheating. Seven times, he refused.""",2
September 19 2012,"""Under Obama, families have lost over $4,000 a year in income.""",2
September 18 2012,"The ""48, 49 percent"" that supports President Barack Obama are ""people who pay no income tax.""",4
September 18 2012,"""Forty-seven percent of Americans pay no income tax.""",0
September 18 2012,"""Fifty percent of kids coming out of school can't get a job.""",1
September 18 2012,"Says President Obama promised ""he'd keep unemployment below 8 percent"" if the stimulus passed.",3
September 14 2012,Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.,3
September 14 2012,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",3
August 31 2012,"At Bain Capital, ""we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.""",0
August 31 2012,"Under the ""Obama economy ... utility bills are higher.""",2
August 31 2012,"In his first TV interview as president, Obama said we ""should talk to Iran.""",0
August 31 2012,"Barack Obama began his presidency ""with an apology tour.""",5
August 30 2012,"""The majority of Americans now doubt that our children will have a better future.""",2
August 27 2012,"""Half the kids coming out of college this year … can't find a job, or a job that's consistent with a college degree.""",0
August 26 2012,"""In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare.""",0
August 20 2012,"""Under the president's plan, he cuts Medicare by $716 billion, takes that money out of the Medicare trust fund and uses it to pay for Obamacare.""",2
August 17 2012,"Claims Joe Biden said ""coal is more dangerous than terrorists."" ",3
August 15 2012,"Says Barack Obama ""robbed Medicare (of) $716 billion to pay for ... Obamacare.""",3
August 8 2012,"""In June, jobless ranks were higher in nearly 90 percent of U.S. cities.""",3
August 7 2012,"""Under Obama’s plan (for welfare), you wouldn’t have to work and wouldn’t have to train for a job. They just send you your welfare check.""",5
August 7 2012,"Says Obama ""refuses to recognize Jerusalem"" as the capital of Israel.",2
August 7 2012,"""As president, Barack Obama has never visited Israel.""",0
August 6 2012,President Obama’s lawsuit claims it is unconstitutional for Ohio to allow servicemen and women extended early voting privileges during the state’s early voting period.,4
August 2 2012,"""Under the Obama administration’s bailout of General Motors, Ohio dealerships were forced to close.""",2
July 31 2012,"President Ronald Reagan sent troops into conflict ""only in one circumstance, which was in Grenada … We were in a peacekeeping setting in Lebanon.""",3
July 26 2012,"President Obama was saying success ""is the result of government,"" not ""hard-working people,"" when he said, ""If you've got a business, you didn't build that. Somebody else made that happen.""",4
July 23 2012,"Stimulus dollars paid for ""windmills from China.""",3
July 20 2012,"The Obama administration ""has been outsourcing"" by sending money to ""solar and wind energy companies that end up making their products outside the United States.""",2
July 20 2012,Says stimulus money went to buy electric cars from Finland as a payback to Obama supporters.,4
July 18 2012,"""When I was governor, not only did test scores improve – we also narrowed the achievement gap.""",2
July 9 2012,""" ‘Obamacare’ puts the federal government between you and your doctor.""",4
July 5 2012,"The Supreme Court said the individual mandate ""is a tax. So it's a tax.""",1
July 3 2012,Says Dow Chemical decided to build a plant in Saudi Arabia rather than Oklahoma due to the impact of environmental regulations on the supply of natural gas.,4
June 29 2012,"""Obamacare … means that for up to 20 million Americans, they will lose the insurance they currently have, the insurance that they like and they want to keep.""",4
June 28 2012,"""Obamacare adds trillions to our deficits and to our national debt.""",4
June 27 2012,"""The median income in America has dropped by 10 percent in the last four years.""",2
June 11 2012,"As governor of Massachusetts, ""Romney reduced unemployment to just 4.7 percent.""",2
June 8 2012,"""More Hispanics have fallen into poverty under Obama.""",2
May 22 2012,"National debt plus unfunded liabilities adds up to $520,000 per American household.",2
May 21 2012,"When Mitt Romney was governor of Massachusetts, ""we didn’t just slow the rate of growth of our government, we actually cut it.""",4
May 18 2012,On President Barack Obama’s stimulus,2
May 18 2012,On the Troubled Asset Relief Program (TARP),0
May 18 2012,On gun policy,2
May 17 2012,On support for Ronald Reagan's policies,4
May 17 2012,On signing a no-tax pledge,4
May 16 2012,"There are ""49 different federal job training programs that report to eight agencies.""",1
May 15 2012,On abortion,4
May 15 2012,On whether humans contribute to global warming,2
May 15 2012,On support for gay marriage.,0
May 7 2012,"""We should be seeing numbers in the 500,000 jobs created per month. (Creating 115,000 jobs, the total from April 2012) is way, way, way off from what should happen in a normal recovery.""",2
April 26 2012,"In the ""Obama economy ... the youth unemployment rate is double the unemployment rate for all Americans.""",2
April 24 2012,"""The total unemployment rate for Hispanic or Latino workers has increased from 10% to 10.3%"" between January 2009 and March 2012. ",3
April 22 2012,"""The number of new businesses started per year has dropped by 100,000 during this president’s term.""",2
April 20 2012,"""President Obama's suggested reduction in spending for next year: $0.""",1
April 12 2012,"""What president has the worst record on female labor force participation? Barack Obama.""",3
April 10 2012,"""Women account for 92.3 percent of the jobs lost under Obama.""",3
April 6 2012,Says Obama has failed to pass a budget.,3
April 4 2012,"Says Barack Obama ""is the only president to ever cut $500 billion from Medicare.""",4
March 22 2012,"President Barack Obama is ""ending Medicare as we know it.""",5
March 7 2012,"Ronald Reagan’s philosophy of ""peace through strength"" is why ""the Iranians released the hostages on the same day and at the same hour that Reagan was sworn in.""",5
March 5 2012,"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt.""",5
February 29 2012,"Says ""Rick Santorum supported (Arlen) Specter over conservative candidates twice.""",0
February 27 2012,"""The president gave the (auto) companies to the UAW.""",4
February 23 2012,"""This president ... could have gotten crippling sanctions against Iran. He did not.""",3
February 10 2012,"""Twenty-five or 24 million people"" are ""out of work or stopped looking for work.""",2
February 8 2012,"President Obama told people ""to skip coming here (Las Vegas) for conventions and meetings.""",3
February 8 2012,"""President Obama is shrinking our military.""",2
February 8 2012,"""Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.""",3
February 8 2012,"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",0
February 7 2012,On deporting illegal immigrants.,0
January 27 2012,"""This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.""",4
