date,text,verdict
May 2 2018,"Says that on the tax reform law, Democratic leaders ""are promising to take it all away.""",2
February 26 2018,"We ""have laws on the books designed to prevent people with mental illnesses from getting firearms.""",2
December 18 2017,"The 1986 tax reform approved under Ronald Reagan ""was polling at about 18 percent right before they passed it.""",2
December 8 2017,"Under the House Republican tax plan, in Wisconsin, ""the median household of four gets about a $2,000 tax cut, on average.""",2
November 3 2017,"""With this plan, the typical family of four will save $1,182 a year on their taxes.""",2
October 13 2017,"The Republican tax reform proposal is focused on tax breaks for the middle class ""and not about people who are really high-income earners getting a tax break."" ",3
September 15 2017,"""We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws."" ",1
September 1 2017,"Says Aaron Rodgers ""is not the highest tax rate payer"" in Wisconsin, it's ""the single mom getting 24 grand in benefits with two kids who will lose 80 cents on the dollar if she goes and takes a job."" ",3
August 24 2017,"""We’ve got dozens of counties around America that have zero insurers left.""",5
June 28 2017,"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want."" ",3
May 19 2017,"Before Obamacare, Wisconsin’s ""high-risk pool"" for health insurance ""had eight or nine"" plans to choose from, people ""could go to any doctor or any hospital they wanted, and their premiums and co-pays were cheaper than they are under Obamacare today.""",2
May 11 2017,"""We got to a point that our Air Force pilots were going to museums to find spare parts over the last eight years"" under Barack Obama.",5
May 4 2017,On voting for a health care bill without an up-to-date Congressional Budget Office score,4
March 14 2017,"A report from the nonpartisan Congressional Budget Office ""confirms that the American Health Care Act will lower premiums.""",2
February 9 2017,"In the United States, ""we tax our exports and don't tax our imports.""",2
February 3 2017,"Obamacare is ""hurting people right now"" with premium increases of up to 116 percent.",1
February 1 2017,"""Obamacare has failed.""",3
January 18 2017,"Obamacare ""is in what the actuaries call a death spiral.""",4
December 23 2016,"""Because of Obamacare, Medicare is going broke.""",5
November 17 2016,"Obamacare ""is not a popular law.""",1
November 16 2016," ""America’s tax code hasn’t been updated in 30 years.""",3
October 7 2016,"""Repeated requests for additional security in Benghazi were routinely denied"" by Hillary ""Clinton’s State Department."" ",0
September 2 2016,"Under the current procedure, if someone ""on a terror watch list"" tries to buy a gun, authorities are notified.",2
August 26 2016,"Says ""President Obama’s proposed oil tax would cost consumers 24 cents a gallon."" ",1
August 5 2016,"""The poverty rates in America today aren’t much better than when we started the War on Poverty.""",2
August 4 2016,"After initially agreeing with Republicans on an amount for Zika funding, ""Democrats derailed it.""",2
July 11 2016,"The United States is ""the oldest democracy"" in the world.",0
June 24 2016,"""People have a constitutional right to have semiautomatic rifles."" ",1
June 16 2016,"American colleges amount to a ""cartel."" ",3
June 8 2016,"""Under (Obamacare), you can’t reward a person for better behavior. You can’t have incentives to be healthier.""",2
May 6 2016,On supporting the eventual Republican presidential nominee,2
April 29 2016,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""",3
March 24 2016,"""To this day, (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives.""",1
March 22 2016,"""70 percent of Americans believe that we are on the wrong path.""",1
March 4 2016,"""There is a precedent"" for not nominating someone to the U.S. Supreme Court ""in the middle of a presidential election.""",4
January 19 2016,"""Today, if you were raised poor, you’re just as likely to stay poor as you were 50 years ago.""",0
December 20 2015,"The Affordable Care Act is ""making families pay double-digit premium increases.""",2
December 10 2015,"The U.S. ""tax rate on successful small businesses is 44.6 percent,"" while the business tax rate in Canada is 15 percent.",0
May 17 2015,"""Every president since Franklin Delano Roosevelt has had"" fast-track trade authority.",2
October 1 2014,"After the 2012 redistricting, Wisconsin has competitive congressional districts.",3
September 8 2014,"""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""",0
July 30 2014,"Twenty percent of single adults, ages 21 to 25 with no kids, ""are not working or even in school trying to find a job."" ",4
June 19 2014,"All 28 members of NATO have ""pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us."" ",1
June 5 2014,"Medicare is ""going broke. The trust fund goes bankrupt in 2026.""",3
March 4 2014,"""Over the past three years, ‘deep poverty’ has reached its highest level on record.""",0
January 12 2014,"Members of the military don’t ""contribute toward their pension.""",0
December 19 2013,"The Murray-Ryan deal ""is the first divided-government budget agreement since 1986.""",3
October 13 2013,On responding to chemical weapon use in Syria,2
August 8 2013,"""Obamacare … carries on even under a government shutdown.""",1
April 21 2013,"Says Abraham Lincoln supported an agreement that allowed slavery in New Mexico ""and a law to return runaway slaves to their owners.""",2
March 15 2013,"""Our debt is already bigger than our economy.""",2
March 15 2013,"The fiscal cliff agreement was ""the largest tax increase in history."" ",4
February 13 2013,"On his definition of ""takers"" and ""makers""",4
February 7 2013,"""We’re taxing our small businesses now at rates higher than corporations.""",3
December 30 2012,"""Over $1 trillion"" was spent on anti-poverty programs in 2011, enough to ""give every single poor American a check for $22,000.""",2
December 23 2012,"""One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids don’t graduate.""",1
October 15 2012,Says six studies verify that the math adds up for Mitt Romney’s tax plan.,3
October 15 2012,"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place.""",3
October 12 2012,"Says Joe Biden ""went to China and said that he sympathized and wouldn't second-guess their one-child policy of forced abortions and sterilizations.""",3
October 12 2012,"""The Canadians — they (dropped) their tax rates to 15 percent. The average tax rate on businesses in the industrialized world is 25 percent.""",1
October 12 2012,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",2
October 12 2012,Says Obama was in New York City the same day as Israeli Prime Minister Benjamin Netanyahu but went on a TV show instead of meeting with him.,4
October 11 2012,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,3
October 11 2012,Says Obama promised unemployment would never go above 8 percent.,3
