date,text,verdict
July 9 2015,"""Jasper County in Texas raised property taxes by 7 percent in order to pay for one death penalty case.""",0
January 24 2014,"For ""the past year, I was censored"" and muzzled.",4
June 15 2012,Says he has nearly 200 delegates bound to support his candidacy at the Republican National Convention.,3
April 27 2012,"""Just on Jan. 1 of this year, there were 40,000 new laws put on the books in one day.""",4
March 2 2012,"Says he ""did the very best"" in a recent poll in Iowa matching up each of the major Republican presidential candidates against President Barack Obama.",1
March 1 2012,"Says Rick Santorum ""funded Planned Parenthood.""",2
March 1 2012,"Says Rick Santorum ""opposes right-to-work""",2
February 23 2012,"""Today gasoline hit $6 a gallon in Florida.""",5
January 31 2012,Says the U.S. federal income tax rate was 0 percent until 1913.,2
January 11 2012,"Says that when Republicans held Congress and the presidency, they ""doubled the size of the (U.S.) Department of Education.""",2
January 4 2012,"Says a new national poll shows ""the majority of the American people believe we should have a gold standard"" for U.S. currency.",4
December 30 2011,"Says there were only ""about eight or 10"" inflammatory sentences in his newsletters.",4
December 9 2011,"""The Fed created $15 trillion in the bailout process"" and $5 trillion went overseas.",3
December 4 2011,Says the Department of Defense changed its definitions of al-Qaeda and the Taliban making it so almost anybody can be loosely associated with the groups.,3
November 15 2011,"""Torture is illegal by our laws. It's illegal by international laws.""",0
October 25 2011,"GOP presidential hopeful Herman Cain called Ron Paul’s followers ""ignorant.""",4
October 24 2011,"Every month since 9/11, there have been as many suicide attacks against the United States and its allies as there were in all the years leading up to 9/11.",1
September 26 2011,"Says ""our taxes have doubled"" with Rick Perry in office.",5
September 24 2011,"Says Rick Perry wrote a letter ""supporting Hillarycare.""",3
September 14 2011,"The U.S. military ""is in 130 countries. We have 900 bases around the world.""",1
September 14 2011,"""170,000 of the jobs"" created in Texas under Gov. Rick Perry ""were government jobs.""",2
September 7 2011,"Rick Perry ""was the (campaign) chairman for Al Gore at one time, not too many years ago.""",2
August 12 2011,"""The country's bankrupt."" ",4
August 10 2011,"""In the '80s, Democrats promised spending cuts, but delivered only tax hikes.""",4
July 25 2011,"""When the Republicans were in charge, they actually expanded government health care with the prescription drug program.""",0
July 23 2011,Says members of the military have sent him more campaign contributions than they’ve sent President Barack Obama and more than twice what they’ve sent other Republican presidential candidates.,0
May 21 2011,"""The Arab and the Muslim nations get twice as much money as Israel.""",1
May 6 2011,"""Prices are going up. Unemployment is continuing to go up.""",2
February 7 2011,"""The last Christians are about to leave"" Iraq.",5
September 11 2010,"Due to the war in Iraq, ""4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome.""",2
July 15 2010,"""We're spending $1 trillion a year on our foreign policy.""",0
February 5 2010,"""The money supply has doubled in the last year.""",3
January 3 2008,"""If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.""",1
December 19 2007,"""It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education.""",0
November 29 2007,"""I get the most money from active duty officers and military personnel.""",0
October 22 2007,"""The founders advised non-interventionism.""",1
September 17 2007,"""He has never voted for a federal restriction on gun ownership.""",0
September 17 2007,"""Congressman Paul introduces numerous pieces of substantive legislation each year, probably more than any single member of Congress.""",1
September 17 2007,"""Dr. Paul never votes for legislation unless the proposed measure is expressly authorized by the Constitution.""",4
September 9 2007,"""We've lost over 5,000 Americans over there in Afghanistan, in Iraq, and plus the civilians killed.""",1
