date,text,verdict
April 29 2019,"""Half the country today has either diabetes or prediabetes.""",1
April 19 2019,"""There is $50 billion a year wasted in the Medicare program."" ",1
February 27 2018,"""Seventy to 80 percent of NRA members support a universal background check.""",1
June 26 2013,"""If you are born poor in America, we rank ninth or tenth in our citizens’ ability to climb up through that ladder and get themselves into the middle class.""",1
November 2 2011,"Attacks on Planned Parenthood ""come at a time when the poverty rate among women is the highest in nearly two decades and 1 in 5 women under 65 don’t have access to health care.""",1
October 6 2011,"""We have a $2 trillion to $3 trillion infrastructure deficit. We’ve got work that needs to get done. We’ve got people that want to go to work.""",1
August 9 2011,"""We’re only spending 2 percent of our GDP on our infrastructure, while China and India are spending 10 percent of their GDP reinvesting back into their country."" ",1
June 29 2011,"""For every dollar we invest in Head Start, we get $5 to $7 back into our economy.""",1
June 13 2011,"The average person ""will pay $6,000 more a year"" under Rep. Paul Ryan's Medicare proposal.",0
April 8 2011,"""A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.""",5
April 8 2011,"""From '05 to '09, we've had 1,100 soldiers commit suicide, one every 36 hours.""",0
November 17 2010,"""Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.""",0
